run_id,harness,architecture_family,provider,model,temperature,prompt_version,schema_version,mapping_version,dataset_n,llm_calls_per_row,mean_input_tokens,mean_output_tokens,mean_total_tokens,latency_ms,estimated_cost_usd,modules_invoked,intermediate_artifacts,external_tools
matrix_meta-llama_Llama-3_1-70B-Instruct_direct_full_contract,direct_full_contract,direct_llm,replay,meta-llama/Llama-3.1-70B-Instruct,0.0,full_contract_single_prompt_v1,final_extraction_v1,,25,1,120.0,70.0,190.0,25,0.0,0,3,
matrix_meta-llama_Llama-3_1-8B-Instruct_direct_full_contract,direct_full_contract,direct_llm,replay,meta-llama/Llama-3.1-8B-Instruct,0.0,full_contract_single_prompt_v1,final_extraction_v1,,25,1,120.0,70.0,190.0,25,0.0,0,3,
matrix_claude-3-5-haiku-20241022_multi_agent_anchor,multi_agent_anchor,clines_inspired_modular,replay,claude-3-5-haiku-20241022,0.0,anchor_multi_agent_v1,1.0.0,,1,2,40.0,14.0,54.0,2,0.0,0,2,
matrix_claude-3-5-sonnet-20241022_multi_agent_anchor,multi_agent_anchor,clines_inspired_modular,replay,claude-3-5-sonnet-20241022,0.0,anchor_multi_agent_v1,1.0.0,,1,2,40.0,14.0,54.0,2,0.0,0,2,
matrix_claude-3-haiku-20240307_multi_agent_anchor,multi_agent_anchor,clines_inspired_modular,replay,claude-3-haiku-20240307,0.0,anchor_multi_agent_v1,1.0.0,,1,2,40.0,14.0,54.0,2,0.0,0,2,
matrix_gpt-4o-2024-11-20_multi_agent_anchor,multi_agent_anchor,clines_inspired_modular,replay,gpt-4o-2024-11-20,0.0,anchor_multi_agent_v1,1.0.0,,1,2,40.0,14.0,54.0,2,0.0,0,2,
matrix_gpt-4o-mini-2024-07-18_multi_agent_anchor,multi_agent_anchor,clines_inspired_modular,replay,gpt-4o-mini-2024-07-18,0.0,anchor_multi_agent_v1,1.0.0,,1,2,40.0,14.0,54.0,2,0.0,0,2,
matrix_meta-llama_Llama-3_1-70B-Instruct_multi_agent_anchor,multi_agent_anchor,clines_inspired_modular,replay,meta-llama/Llama-3.1-70B-Instruct,0.0,anchor_multi_agent_v1,1.0.0,,1,2,40.0,14.0,54.0,2,0.0,0,2,
matrix_meta-llama_Llama-3_1-8B-Instruct_multi_agent_anchor,multi_agent_anchor,clines_inspired_modular,replay,meta-llama/Llama-3.1-8B-Instruct,0.0,anchor_multi_agent_v1,1.0.0,,1,2,40.0,14.0,54.0,2,0.0,0,2,
matrix_claude-3-5-haiku-20241022_multi_agent_anchor_sc3,multi_agent_anchor_sc3,costed_reliability_variant,replay,claude-3-5-haiku-20241022,0.0,anchor_single_prompt_v1,1.0.0,,1,3,60.0,18.0,78.0,3,0.0,0,2,
matrix_claude-3-5-sonnet-20241022_multi_agent_anchor_sc3,multi_agent_anchor_sc3,costed_reliability_variant,replay,claude-3-5-sonnet-20241022,0.0,anchor_single_prompt_v1,1.0.0,,1,3,60.0,18.0,78.0,3,0.0,0,2,
matrix_claude-3-haiku-20240307_multi_agent_anchor_sc3,multi_agent_anchor_sc3,costed_reliability_variant,replay,claude-3-haiku-20240307,0.0,anchor_single_prompt_v1,1.0.0,,1,3,60.0,18.0,78.0,3,0.0,0,2,
matrix_gpt-4o-2024-11-20_multi_agent_anchor_sc3,multi_agent_anchor_sc3,costed_reliability_variant,replay,gpt-4o-2024-11-20,0.0,anchor_single_prompt_v1,1.0.0,,1,3,60.0,18.0,78.0,3,0.0,0,2,
matrix_gpt-4o-mini-2024-07-18_multi_agent_anchor_sc3,multi_agent_anchor_sc3,costed_reliability_variant,replay,gpt-4o-mini-2024-07-18,0.0,anchor_single_prompt_v1,1.0.0,,1,3,60.0,18.0,78.0,3,0.0,0,2,
matrix_meta-llama_Llama-3_1-70B-Instruct_multi_agent_anchor_sc3,multi_agent_anchor_sc3,costed_reliability_variant,replay,meta-llama/Llama-3.1-70B-Instruct,0.0,anchor_single_prompt_v1,1.0.0,,1,3,60.0,18.0,78.0,3,0.0,0,2,
matrix_meta-llama_Llama-3_1-8B-Instruct_multi_agent_anchor_sc3,multi_agent_anchor_sc3,costed_reliability_variant,replay,meta-llama/Llama-3.1-8B-Instruct,0.0,anchor_single_prompt_v1,1.0.0,,1,3,60.0,18.0,78.0,3,0.0,0,2,
matrix_claude-3-5-haiku-20241022_multi_agent_anchor_sc5,multi_agent_anchor_sc5,costed_reliability_variant,replay,claude-3-5-haiku-20241022,0.0,anchor_single_prompt_v1,1.0.0,,1,5,100.0,30.0,130.0,5,0.0,0,2,
matrix_claude-3-5-sonnet-20241022_multi_agent_anchor_sc5,multi_agent_anchor_sc5,costed_reliability_variant,replay,claude-3-5-sonnet-20241022,0.0,anchor_single_prompt_v1,1.0.0,,1,5,100.0,30.0,130.0,5,0.0,0,2,
matrix_claude-3-haiku-20240307_multi_agent_anchor_sc5,multi_agent_anchor_sc5,costed_reliability_variant,replay,claude-3-haiku-20240307,0.0,anchor_single_prompt_v1,1.0.0,,1,5,100.0,30.0,130.0,5,0.0,0,2,
matrix_gpt-4o-2024-11-20_multi_agent_anchor_sc5,multi_agent_anchor_sc5,costed_reliability_variant,replay,gpt-4o-2024-11-20,0.0,anchor_single_prompt_v1,1.0.0,,1,5,100.0,30.0,130.0,5,0.0,0,2,
matrix_gpt-4o-mini-2024-07-18_multi_agent_anchor_sc5,multi_agent_anchor_sc5,costed_reliability_variant,replay,gpt-4o-mini-2024-07-18,0.0,anchor_single_prompt_v1,1.0.0,,1,5,100.0,30.0,130.0,5,0.0,0,2,
matrix_meta-llama_Llama-3_1-70B-Instruct_multi_agent_anchor_sc5,multi_agent_anchor_sc5,costed_reliability_variant,replay,meta-llama/Llama-3.1-70B-Instruct,0.0,anchor_single_prompt_v1,1.0.0,,1,5,100.0,30.0,130.0,5,0.0,0,2,
matrix_meta-llama_Llama-3_1-8B-Instruct_multi_agent_anchor_sc5,multi_agent_anchor_sc5,costed_reliability_variant,replay,meta-llama/Llama-3.1-8B-Instruct,0.0,anchor_single_prompt_v1,1.0.0,,1,5,100.0,30.0,130.0,5,0.0,0,2,
matrix_claude-3-5-haiku-20241022_retrieval_anchor,retrieval_anchor,retrieval_field_pipeline,replay,claude-3-5-haiku-20241022,0.0,anchor_retrieval_v1,1.0.0,,1,1,20.0,6.0,26.0,1,0.0,0,2,
matrix_claude-3-5-sonnet-20241022_retrieval_anchor,retrieval_anchor,retrieval_field_pipeline,replay,claude-3-5-sonnet-20241022,0.0,anchor_retrieval_v1,1.0.0,,1,1,20.0,6.0,26.0,1,0.0,0,2,
matrix_claude-3-haiku-20240307_retrieval_anchor,retrieval_anchor,retrieval_field_pipeline,replay,claude-3-haiku-20240307,0.0,anchor_retrieval_v1,1.0.0,,1,1,20.0,6.0,26.0,1,0.0,0,2,
matrix_gpt-4o-2024-11-20_retrieval_anchor,retrieval_anchor,retrieval_field_pipeline,replay,gpt-4o-2024-11-20,0.0,anchor_retrieval_v1,1.0.0,,1,1,20.0,6.0,26.0,1,0.0,0,2,
matrix_gpt-4o-mini-2024-07-18_retrieval_anchor,retrieval_anchor,retrieval_field_pipeline,replay,gpt-4o-mini-2024-07-18,0.0,anchor_retrieval_v1,1.0.0,,1,1,20.0,6.0,26.0,1,0.0,0,2,
matrix_meta-llama_Llama-3_1-70B-Instruct_retrieval_anchor,retrieval_anchor,retrieval_field_pipeline,replay,meta-llama/Llama-3.1-70B-Instruct,0.0,anchor_retrieval_v1,1.0.0,,1,1,20.0,6.0,26.0,1,0.0,0,2,
